Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9
2017-07-02 01:30,0.05,2.4,229.5,0.1,1,2,0,0.2,1,0,0.2,2
2017-07-02 01:40,0.05,1.97,253.8,0,0.1,0.2,0.1,0.2,0.6,0.4,0.8,1.5
2017-07-02 01:50,0.05,1.68,215.4,0.4,0.8,1,0.1,0.2,0.6,0.1,0.2,0.6
2017-07-02 02:00,0.05,1.58,212.9,0.1,0.6,2,0.2,2,4,0.6,0.4,2
2017-07-02 02:10,0.15,2.38,212,0.4,0.8,1,0.6,0.8,1.5,0.6,1,1.5
2017-07-02 02:20,0.15,2.6,211.8,4,5,6,2,5,5,2,3,3
2017-07-02 02:30,0.15,2.26,228.7,6,8,8,6,7,6,6,7,6
2017-07-02 02:40,0.4,2.22,191,7,7,5,12,10,5,10,8,8
2017-07-02 02:50,0.1,2.53,198.1,4,3,2,7,4,2,7,6,5
2017-07-02 03:00,0.15,1.7,235.1,3,3,4,4,4,6,4,6,5
2017-07-02 03:10,0.6,1.43,231.8,4,14,16,5,8,9,6,6,6
2017-07-02 03:20,0.35,1.89,236.8,2,3,5,2,4,6,2,6,7
2017-07-02 03:30,0.25,1.29,233.8,6,6,3,4,5,4,3,3,4
2017-07-02 03:40,0.4,1.32,225.7,8,4,6,6,1.5,2,4,1,2
2017-07-02 03:50,0.3,0.89,306.7,2,4,5,3,3,5,4,4,6
2017-07-02 04:00,0.75,1.01,314,14,9,10,12,9,10,9,8,7
2017-07-02 04:10,0.5,1.85,197.7,2,2,4,2,4,6,3,5,7
2017-07-02 04:20,0.5,1.89,240.7,5,7,8,3,4,5,2,4,6
2017-07-02 04:30,0.25,0.87,182.8,5,3,3,4,5,4,5,6,4
2017-07-02 04:40,0.1,0.21,7,6,3,6,5,5,7,4,5,7
2017-07-02 04:50,0.3,0.04,2.7,6,6,3,6,6,3,6,3,1.5
2017-07-02 05:00,0.3,0.18,88,7,5,3,7,5,6,7,6,6
2017-07-02 05:10,0.3,0.78,101.8,9,7,7,8,7,4,7,4,3
2017-07-02 05:20,0.05,1.24,316.8,3,3,2,4,4,6,4,7,7
2017-07-02 05:30,0,3.24,212,0.2,0,0,0.2,0,0,0.4,0.1,0.6
2017-07-02 05:40,0,3.92,238.8,0.2,0.1,0,0,0,0,0,0,0
2017-07-02 05:50,0,3.4,254.6,0.6,0.2,0,0.4,0.2,0,0.4,0.1,0
2017-07-02 06:00,0,3.96,236.5,0,0,0,0,0,0,0,0,0
2017-07-02 06:10,0,3.18,249.9,0.4,0.8,0.2,0,0.4,0.1,0,0.2,0
2017-07-02 06:20,0,3.48,258,0.4,0.6,0.1,1,0.8,0.1,1,0.8,0
2017-07-02 06:30,0,3.87,266.4,0,0,0,0,0,0,0,0,0
2017-07-02 06:40,0,2.7,250.3,0,0,0,0,0,0,0,0,0
